Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
CN,沧州市,河北水利电力学院,"38.3004,116.8136",PM2.5,ChinaAQIData,µg/m³,34.0,2021-08-06T13:00:00+02:00,China
CN,呼和浩特市,小召,"40.8033,111.6572",NO2,ChinaAQIData,µg/m³,34.0,2021-08-06T13:00:00+02:00,China
US,Brainerd,Brainerd,"46.3944,-94.1433",PM2.5,AirNow,µg/m³,34.0,2021-08-06T13:00:00+02:00,United States
US,Minneapolis-St. Paul-Bloomington,St. Cloud,"45.55,-94.1333",PM2.5,AirNow,µg/m³,34.0,2021-08-06T13:00:00+02:00,United States
CN,锦州市,天安街道,"41.1222,121.1178",PM2.5,ChinaAQIData,µg/m³,34.0,2021-08-06T13:00:00+02:00,China
CN,唐山市,物资局,"39.6334,118.1725",NO2,ChinaAQIData,µg/m³,34.0,2021-08-06T13:00:00+02:00,China
CN,贵阳市,新华路,"26.5699,106.7164",NO2,ChinaAQIData,µg/m³,34.0,2021-08-06T13:00:00+02:00,China
CN,无锡市,黄巷,"31.6219,120.275",NO2,ChinaAQIData,µg/m³,34.0,2021-08-06T13:00:00+02:00,China
CN,六盘水市,水钢,"26.5939,104.89",PM2.5,ChinaAQIData,µg/m³,34.0,2021-08-06T13:00:00+02:00,China
RO,Dolj,RO0078A,"44.3186111495,23.8061161",NO2,EEA Romania,µg/m³,34.42097222,2021-08-06T13:00:00+02:00,Romania
